word,PoS,score
#soumaiseu,HTAG,1
#soyadicto,HTAG,1
#speed,HTAG,-1
#speedy,HTAG,-1
#spotv,HTAG,-1
#submarino,HTAG,-1
#tadimdemim,HTAG,-1
#taxiamigo,HTAG,1
#tcc,HTAG,1
#teamfollowback,HTAG,-1
#teamo,HTAG,-1
#tecnologia,HTAG,1
#telaquente,HTAG,-1
#telefoncia,HTAG,-1
#telefonica,HTAG,-1
#tenso,HTAG,-1
#thaismaracorr,HTAG,-1
#ti,HTAG,-1
#tim,HTAG,-1
#time,HTAG,-1
#todayillbesimple,HTAG,-1
#todosadora,HTAG,-1
#topfive,HTAG,-1
#tosempiquenenhum,HTAG,-1
#totalyfail,HTAG,-1
#tps,HTAG,-1
#transitosp,HTAG,-1
#travelmug,HTAG,1
#travelw,HTAG,-1
#trecho15reais,HTAG,-1
#treinaweb,HTAG,-1
#trollar,HTAG,-1
#trote,HTAG,-1
#true,HTAG,1
#tvi,HTAG,1
#twitcam,HTAG,-1
#twittcam,HTAG,-1
#twitter,HTAG,-1
#uenf,HTAG,1
#unesp,HTAG,-1
#uni,HTAG,-1
#unico,HTAG,-1
#unip,HTAG,-1
#v,HTAG,-1
#vaisonhando,HTAG,1
#valdir,HTAG,-1
#valetudo,HTAG,-1
#valeurge,HTAG,-1
#vamp,HTAG,-1
#vdm,HTAG,-1
#vengodelfuturo,HTAG,-1
#verdade,HTAG,0
#vergonha,HTAG,-1
#viage,HTAG,-1
#vida,HTAG,-1
#viih,HTAG,-1
#virgenalos40,HTAG,-1
#vivo,HTAG,0
#vmb,HTAG,-1
#voegoloficial,HTAG,-1
#voetrip,HTAG,-1
#volei,HTAG,-1
#vtnc,HTAG,-1
#vym,HTAG,-1
#w00t,HTAG,1
#win,HTAG,1
#windows,HTAG,1
#windowsphonemango,HTAG,1
#winning,HTAG,1
#wolfteam,HTAG,-1
#wp7,HTAG,1
#x10,HTAG,-1
#xoinsetos,HTAG,-1
#youtube,HTAG,-1
#z,HTAG,-1
#zegotinha,HTAG,1
#zon,HTAG,0
>:(,EMOT,-1
><,EMOT,-1
,EMOT,-1
'',EMOT,-1
A,EMOT,-1
ab-rogar,VB,-1
ababadar,VB,0
ababelar,VB,-1
ababelar-se,VB,1
abacanar,VB,1
abacinar,VB,1
abafada,ADJ,-1
abafadas,ADJ,-1
abafado,ADJ,-1
abafados,ADJ,-1
abafante,ADJ,-1
abafantes,ADJ,-1
abafar,VB,-1
abaixada,ADJ,-1
abaixadas,ADJ,-1
abaixado,ADJ,-1
abaixados,ADJ,-1
abaixar,VB,0
abaixar-se,VB,0
abalada,ADJ,-1
abaladas,ADJ,-1
abalado,ADJ,-1
abalados,ADJ,-1
abalancado,ADJ,1
abalancar,VB,1
abalar,VB,0
abalar-se,VB,0
abalizada,ADJ,1
abalizadas,ADJ,1
abalizado,ADJ,1
abalizados,ADJ,1
abalizar,VB,0
abalroar,VB,0
abalroar-se,VB,1
abanar,VB,0
abandalhada,ADJ,-1
abandalhadas,ADJ,-1
abandalhado,ADJ,-1
abandalhados,ADJ,-1
abandalhar,VB,1
abandar,VB,-1
abandonada,ADJ,-1
abandonadas,ADJ,-1
abandonado,ADJ,-1
abandonados,ADJ,-1
abandonar,VB,-1
abandonar-se,VB,0
abarbar,VB,1
abarbarado,ADJ,1
abarcante,ADJ,-1
abarcantes,ADJ,-1
abarcar,VB,-1
abarrancar,VB,-1
abarregar,VB,1
abarreirar,VB,-1
abarrocar,VB,-1
abarrotada,ADJ,-1
abarrotadas,ADJ,-1
abarrotado,ADJ,-1
abarrotados,ADJ,-1
abarrotar,VB,0
abasbacar,VB,0
abastada,ADJ,1
abastadas,ADJ,1
abastadear,VB,1
abastado,ADJ,1
abastados,ADJ,1
abastar,VB,-1
abastardar,VB,1
abastardar-se,VB,1
abastardear-se,VB,1
abastecer,VB,1
abastecida,ADJ,0
abastecidas,ADJ,0
abastecido,ADJ,0
abastecidos,ADJ,0
abastoso,ADJ,1
abater,VB,-1
abatida,ADJ,-1
abatidas,ADJ,-1
abatido,ADJ,-1
abatidos,ADJ,-1
abatocar,VB,1
abdicar,VB,-1
abduzir,VB,0
abduzir-se,VB,1
abeberar,VB,0
abeirar,VB,0
abeirar-se,VB,1
abelhuda,ADJ,-1
abelhudar,VB,0
abelhudas,ADJ,-1
abelhudo,ADJ,-1
abelhudos,ADJ,-1
abemolar,VB,0
abencoada,ADJ,1
abencoadas,ADJ,1
abencoado,ADJ,1
abencoados,ADJ,1
abencoar,VB,0
aberrante,ADJ,-1
aberrantes,ADJ,-1
aberrativa,ADJ,-1
aberrativas,ADJ,-1
aberrativo,ADJ,-1
aberrativos,ADJ,-1
aberratorio,ADJ,1
aberta,ADJ,0
abertao,ADJ,1
abertas,ADJ,0
aberto,ADJ,0
abertos,ADJ,0
abespinhada,ADJ,-1
abespinhadas,ADJ,-1
abespinhado,ADJ,-1
abespinhados,ADJ,-1
abespinhar,VB,-1
abestalhada,ADJ,-1
abestalhadas,ADJ,-1
abestalhado,ADJ,-1
abestalhados,ADJ,-1
abetumado,ADJ,-1
abetumar,VB,0
abicar,VB,0
abichar,VB,0
abilolada,ADJ,-1
abiloladas,ADJ,-1
abilolado,ADJ,-1
abilolados,ADJ,-1
abiscoitar,VB,0
abiselar,VB,1
abismada,ADJ,-1
abismadas,ADJ,-1
abismado,ADJ,-1
abismados,ADJ,-1
abismais,ADJ,-1
abismal,ADJ,-1
abismar,VB,1
abjecta,ADJ,-1
abjectas,ADJ,-1
abjecto,ADJ,-1
abjectos,ADJ,-1
abjeta,ADJ,-1
abjetas,ADJ,-1
abjeto,ADJ,-1
abjetos,ADJ,-1
abjugar,VB,0
abjugar-se,VB,1
abjurar,VB,1
ablegar,VB,1
ablegar-se,VB,1
abluir,VB,0
abnegada,ADJ,1
abnegadas,ADJ,1
abnegado,ADJ,1
abnegados,ADJ,1
abnegar,VB,1
abnoitar,VB,1
abnormal,ADJ,1
abnoxio,ADJ,1
abnuir,VB,1
abobada,ADJ,-1
abobadar,VB,0
abobadas,ADJ,-1
abobado,ADJ,-1
abobados,ADJ,-1
abobalhada,ADJ,-1
abobalhadas,ADJ,-1
abobalhado,ADJ,-1
abobalhados,ADJ,-1
abobalhar,VB,1
abocanhar,VB,-1
abocar,VB,-1
abodegado,ADJ,-1
abodegar,VB,-1
abolachar,VB,0
abolar,VB,-1
abolcar,VB,0
aboleimar,VB,0
aboletar,VB,0
abolicionista,ADJ,0
abolicionistas,ADJ,0
abolida,ADJ,-1
abolidas,ADJ,-1
abolido,ADJ,-1
abolidos,ADJ,-1
abolir,VB,-1
abolorecer,VB,1
abolorentar,VB,1
abolsar,VB,1
abominado,ADJ,-1
abominador,ADJ,-1
abominadora,ADJ,-1
abominadoras,ADJ,-1
abominadores,ADJ,-1
abominanda,ADJ,-1
abominandas,ADJ,-1
abominando,ADJ,-1
abominandos,ADJ,-1
abominaveis,ADJ,-1
abominavel,ADJ,-1
abominoso,ADJ,-1
abonada,ADJ,1
abonadas,ADJ,1
abonado,ADJ,1
abonados,ADJ,1
abonancar,VB,0
abonancar-se,VB,1
abonar,VB,0
abonatoria,ADJ,1
abonatorias,ADJ,1
abonatorio,ADJ,1
abonatorios,ADJ,1
abonecada,ADJ,0
abonecadas,ADJ,0
abonecado,ADJ,0
abonecados,ADJ,0
aboquejar,VB,-1
aborcar,VB,-1
abordar,VB,0
aborigene,ADJ,-1
aborigenes,ADJ,-1
aborrecedor,ADJ,-1
aborrecer,VB,-1
aborrecer-se,VB,1
aborrecida,ADJ,-1
aborrecidas,ADJ,-1
aborrecido,ADJ,-1
aborrecidos,ADJ,-1
aborrecivel,ADJ,-1
aborrido,ADJ,-1
aborrivel,ADJ,-1
abortada,ADJ,-1
abortadas,ADJ,-1
abortado,ADJ,-1
abortados,ADJ,-1
abortar,VB,-1
abotoar,VB,0
abracada,ADJ,1
abracadabrante,ADJ,1
abracadabrico,ADJ,1
abracadas,ADJ,1
abracado,ADJ,1
abracados,ADJ,1
abracar,VB,0
abracar-se,VB,1
abrancar,VB,1
abrandar,VB,0
abrandar-se,VB,1
abrangente,ADJ,1
abrangentes,ADJ,1
abranger,VB,0
abrangida,ADJ,-1
abrangidas,ADJ,-1
abrangido,ADJ,-1
abrangidos,ADJ,-1
abrasar,VB,0
abrasar-se,VB,1
abrasear,VB,-1
abrasileirada,ADJ,0
abrasileiradas,ADJ,0
abrasileirado,ADJ,0
abrasileirados,ADJ,0
abrejar,VB,1
abreviar,VB,0
abrigada,ADJ,0
abrigadas,ADJ,0
abrigado,ADJ,0
abrigados,ADJ,0
abrigar,VB,-1
abrilhantada,ADJ,1
abrilhantadas,ADJ,1
abrilhantado,ADJ,1
abrilhantados,ADJ,1
abrilhantar,VB,0
abrir,VB,-1
abrir mao de,VB N PRP,-1
abrir o possibilidade de,VB DET N PRP,1
abrir-se,VB,-1
abrolhar,VB,0
abrupta,ADJ,-1
abruptas,ADJ,-1
abrupto,ADJ,-1
abruptos,ADJ,-1
abrutado,ADJ,-1
abrutalhada,ADJ,-1
abrutalhadas,ADJ,-1
abrutalhado,ADJ,-1
abrutalhados,ADJ,-1
abrutalhar,VB,1
abrutar,VB,1
abscidar-se,VB,1
absentista,ADJ,-1
absentistas,ADJ,-1
absoluta,ADJ,1
absolutas,ADJ,1
absolutista,ADJ,0
absolutistas,ADJ,0
absoluto,ADJ,1
absolutos,ADJ,1
absolver,VB,-1
absolvida,ADJ,0
absolvidas,ADJ,0
absolvido,ADJ,0
absolvidos,ADJ,0
absonar,VB,-1
absorta,ADJ,-1
absortas,ADJ,-1
absorto,ADJ,-1
absortos,ADJ,-1
absorvente,ADJ,1
absorventes,ADJ,1
absorver,VB,-1
absorver-se,VB,1
abstemia,ADJ,1
abstemias,ADJ,1
abstemica,ADJ,1
abstemicas,ADJ,1
abstemico,ADJ,1
abstemicos,ADJ,1
abstemio,ADJ,1
abstemios,ADJ,1
abstencionista,ADJ,0
abstencionistas,ADJ,0
abster-se,VB,0
abstinente,ADJ,0
abstinentes,ADJ,0
abstraccionista,ADJ,0
abstraccionistas,ADJ,0
abstracta,ADJ,-1
abstractas,ADJ,-1
abstracto,ADJ,-1
abstractos,ADJ,-1
abstraida,ADJ,-1
abstraidas,ADJ,-1
abstraido,ADJ,-1
abstraidos,ADJ,-1
abstrair,VB,1
abstrair-se,VB,0
abstrata,ADJ,-1
abstratas,ADJ,-1
abstrato,ADJ,-1
abstratos,ADJ,-1
abstrusa,ADJ,-1
abstrusas,ADJ,-1
abstruso,ADJ,-1
abstrusos,ADJ,-1
absumir,VB,-1
absurda,ADJ,-1
absurdas,ADJ,-1
absurdo,ADJ,-1
absurdos,ADJ,-1
abugalhar,VB,1
abulica,ADJ,-1
abulicas,ADJ,-1
abulico,ADJ,-1
abulicos,ADJ,-1
abundante,ADJ,1
abundar,VB,1
abundoso,ADJ,1
aburacar,VB,1
aburguesada,ADJ,0
aburguesadas,ADJ,0
aburguesado,ADJ,0
aburguesados,ADJ,0
abusada,ADJ,-1
abusadas,ADJ,-1
abusado,ADJ,-1
abusador,ADJ,-1
abusadora,ADJ,-1
abusadoras,ADJ,-1
abusadores,ADJ,-1
abusados,ADJ,-1
abusar,VB,1
abusiva,ADJ,-1
abusivas,ADJ,-1
abusivo,ADJ,-1
abusivos,ADJ,-1
abuzinar,VB,1
acabada,ADJ,-1
acabadas,ADJ,-1
